"title","author","author_url","rating","voters_count","url"
"The Motorcycle Diaries: A Journey Around South America","Ernesto Che Guevara","https://www.goodreads.com/author/show/76172.Ernesto_Che_Guevara","3.79","28608","https://goodreads.com/book/show/832858.The_Motorcycle_Diaries"
"Jasper Jones","Craig Silvey","https://www.goodreads.com/author/show/341493.Craig_Silvey","4.08","24333","https://goodreads.com/book/show/8407173-jasper-jones"
"Ogniem i mieczem (Trylogia, #1)","Henryk Sienkiewicz","https://www.goodreads.com/author/show/25619.Henryk_Sienkiewicz","3.98","4238","https://goodreads.com/book/show/1904724.Ogniem_i_mieczem"
"He's Just Not That Into You: The No-Excuses Truth to Understanding Guys","Greg Behrendt","https://www.goodreads.com/author/show/6842.Greg_Behrendt","3.66","59745","https://goodreads.com/book/show/10412.He_s_Just_Not_That_Into_You"
"Bleak House","Charles Dickens","https://www.goodreads.com/author/show/239579.Charles_Dickens","4.01","90953","https://goodreads.com/book/show/31242.Bleak_House"
"The Body Snatchers","Jack Finney","https://www.goodreads.com/author/show/6944.Jack_Finney","3.89","18642","https://goodreads.com/book/show/8493821-the-body-snatchers"
"Nekojiru Udon 2","Chiyomi Hashiguchi","https://www.goodreads.com/author/show/3304643.Chiyomi_Hashiguchi","3.9","10","https://goodreads.com/book/show/2132144.Nekojiru_Udon_2"
"The Hobbit, or There and Back Again","J.R.R. Tolkien","https://www.goodreads.com/author/show/656983.J_R_R_Tolkien","4.27","2704","https://goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again"
"The Elegance of the Hedgehog","Muriel Barbery","https://www.goodreads.com/author/show/643126.Muriel_Barbery","3.76","140900","https://goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)","Jenny Han","https://www.goodreads.com/author/show/151371.Jenny_Han","4.17","405111","https://goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before"
"Walt Disney's The Sorcerer's Apprentice (A Little Golden Book)","Don Ferguson","https://www.goodreads.com/author/show/47252.Don_Ferguson","4.38","1200","https://goodreads.com/book/show/1537833.Walt_Disney_s_The_Sorcerer_s_Apprentice"
"Quo Vadis","Henryk Sienkiewicz","https://www.goodreads.com/author/show/25619.Henryk_Sienkiewicz","4.16","24823","https://goodreads.com/book/show/538845.Quo_Vadis"
"Goldfinger (James Bond, #7)","Ian Fleming","https://www.goodreads.com/author/show/2565.Ian_Fleming","3.8","19073","https://goodreads.com/book/show/3759.Goldfinger"
